"tract_id","n_pings"
"42125761000",1124
"42125762000",46
"42125763700",87
"42125764000",206
"42125771100",1070
"42125771200",577
"42125772700",128
"42125773100",543
"42125773200",53
"42125774700",1191
"42125775200",371
"42125775300",734
"42125781700",955
"42125782700",319
"42125783200",281
"42125783300",299
"42125784000",450
"42125791000",81
"42125792100",514
"42125792200",118
"42125795700",200
"42125795800",2192
"42125795900",381
"42125796000",32
"42129800100",248
"42129800200",269
"42129800300",399
"42129800400",944
"42129800500",551
"42129800600",411
"42129800700",1008
"42129800800",127
"42129800900",473
"42129801001",231
"42129801002",737
"42129801100",586
"42129801200",999
"42129801300",546
"42129801400",259
"42129801500",98
"42129801600",35
"42129801701",326
"42129801702",681
"42129801703",316
"42129801800",241
"42129801900",2221
"42129802001",143
"42129802002",1731
"42129802101",939
"42129802102",1497
"42129802103",1332
"42129802200",360
"42129802301",1723
"42129802303",482
"42129802304",1991
"42129802400",658
"42129802500",323
"42129802600",395
"42129802700",241
"42129802800",254
"42129802900",791
"42129803000",790
"42129803100",1630
"42129803200",1033
"42129803301",1160
"42129803302",337
"42129803400",118
"42129803501",1012
"42129803502",655
"42129803600",908
"42129803700",3209
"42129803800",1646
"42129803901",177
"42129803902",576
"42129804000",414
"42129804100",1006
"42129804200",532
"42129804300",439
"42129804400",504
"42129804501",198
"42129804502",1486
"42129804600",412
"42129804701",491
"42129804702",1034
"42129804801",837
"42129804802",1248
"42129804900",2170
"42129805000",279
"42129805100",177
"42129805200",286
"42129805400",769
"42129805500",274
"42129805600",324
"42129805800",1838
"42129805901",1732
"42129805902",1198
"42129806000",76
"42129806100",649
"42129806200",275
"42129806300",29
"42129806400",40
"42129806500",345
"42129806600",270
"42129806700",80
"42129806800",24
"42129806900",511
"42129807000",759
"42129807100",81
"42129807200",518
"42129807300",250
"42129807401",103
"42129807402",921
"42129807500",47
"42129807600",110
"42129807700",104
"42129807800",130
"42129807900",1539
"42129808100",73
"42129808200",17
"42129808300",62
"42129808401",108
"42129808402",120
"42129808500",32
"42129808600",1195
